"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nivell acadèmic","Nombre"
2014,1,"Ciutat Vella",1,"el Raval","Home","Sense estudis",1350
2014,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Sense estudis",350
2014,1,"Ciutat Vella",3,"la Barceloneta","Home","Sense estudis",530
2014,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Sense estudis",551
2014,2,"Eixample",5,"el Fort Pienc","Home","Sense estudis",451
2014,2,"Eixample",6,"la Sagrada Família","Home","Sense estudis",798
2014,2,"Eixample",7,"la Dreta de l'Eixample","Home","Sense estudis",427
2014,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Sense estudis",465
2014,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Sense estudis",709
2014,2,"Eixample",10,"Sant Antoni","Home","Sense estudis",629
2014,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Sense estudis",967
2014,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Sense estudis",96
2014,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Sense estudis",1078
2014,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Sense estudis",213
2014,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Sense estudis",370
2014,3,"Sants-Montjuïc",16,"la Bordeta","Home","Sense estudis",421
2014,3,"Sants-Montjuïc",17,"Sants - Badal","Home","Sense estudis",620
2014,3,"Sants-Montjuïc",18,"Sants","Home","Sense estudis",835
2014,4,"Les Corts",19,"les Corts","Home","Sense estudis",606
2014,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","Sense estudis",422
2014,4,"Les Corts",21,"Pedralbes","Home","Sense estudis",115
2014,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","Sense estudis",75
2014,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","Sense estudis",290
2014,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","Sense estudis",139
2014,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","Sense estudis",237
2014,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","Sense estudis",432
2014,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","Sense estudis",268
2014,6,"Gràcia",28,"Vallcarca i els Penitents","Home","Sense estudis",224
2014,6,"Gràcia",29,"el Coll","Home","Sense estudis",157
2014,6,"Gràcia",30,"la Salut","Home","Sense estudis",247
2014,6,"Gràcia",31,"la Vila de Gràcia","Home","Sense estudis",672
2014,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","Sense estudis",460
2014,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","Sense estudis",486
2014,7,"Horta-Guinardó",34,"Can Baró","Home","Sense estudis",263
2014,7,"Horta-Guinardó",35,"el Guinardó","Home","Sense estudis",701
2014,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","Sense estudis",185
2014,7,"Horta-Guinardó",37,"el Carmel","Home","Sense estudis",1561
2014,7,"Horta-Guinardó",38,"la Teixonera","Home","Sense estudis",464
2014,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","Sense estudis",269
2014,7,"Horta-Guinardó",40,"Montbau","Home","Sense estudis",145
2014,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","Sense estudis",121
2014,7,"Horta-Guinardó",42,"la Clota","Home","Sense estudis",18
2014,7,"Horta-Guinardó",43,"Horta","Home","Sense estudis",875
2014,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","Sense estudis",674
2014,8,"Nou Barris",45,"Porta","Home","Sense estudis",933
2014,8,"Nou Barris",46,"el Turó de la Peira","Home","Sense estudis",559
2014,8,"Nou Barris",47,"Can Peguera","Home","Sense estudis",127
2014,8,"Nou Barris",48,"la Guineueta","Home","Sense estudis",504
2014,8,"Nou Barris",49,"Canyelles","Home","Sense estudis",336
2014,8,"Nou Barris",50,"les Roquetes","Home","Sense estudis",868
2014,8,"Nou Barris",51,"Verdun","Home","Sense estudis",564
2014,8,"Nou Barris",52,"la Prosperitat","Home","Sense estudis",1301
2014,8,"Nou Barris",53,"la Trinitat Nova","Home","Sense estudis",351
2014,8,"Nou Barris",54,"Torre Baró","Home","Sense estudis",169
2014,8,"Nou Barris",55,"Ciutat Meridiana","Home","Sense estudis",484
2014,8,"Nou Barris",56,"Vallbona","Home","Sense estudis",64
2014,9,"Sant Andreu",57,"la Trinitat Vella","Home","Sense estudis",474
2014,9,"Sant Andreu",58,"Baró de Viver","Home","Sense estudis",109
2014,9,"Sant Andreu",59,"el Bon Pastor","Home","Sense estudis",470
2014,9,"Sant Andreu",60,"Sant Andreu","Home","Sense estudis",1245
2014,9,"Sant Andreu",61,"la Sagrera","Home","Sense estudis",646
2014,9,"Sant Andreu",62,"el Congrés i els Indians","Home","Sense estudis",294
2014,9,"Sant Andreu",63,"Navas","Home","Sense estudis",414
2014,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","Sense estudis",668
2014,10,"Sant Martí",65,"el Clot","Home","Sense estudis",549
2014,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","Sense estudis",270
2014,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","Sense estudis",115
2014,10,"Sant Martí",68,"el Poblenou","Home","Sense estudis",694
2014,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","Sense estudis",222
2014,10,"Sant Martí",70,"el Besòs i el Maresme","Home","Sense estudis",1028
2014,10,"Sant Martí",71,"Provençals del Poblenou","Home","Sense estudis",545
2014,10,"Sant Martí",72,"Sant Martí de Provençals","Home","Sense estudis",737
2014,10,"Sant Martí",73,"la Verneda i la Pau","Home","Sense estudis",1203
2014,99,"No consta",99,"No consta","Home","Sense estudis",0
