"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nivell acadèmic","Nombre"
2010,1,"Ciutat Vella",1,"el Raval","Home","Sense estudis",1914
2010,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Sense estudis",663
2010,1,"Ciutat Vella",3,"la Barceloneta","Home","Sense estudis",820
2010,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Sense estudis",851
2010,2,"Eixample",5,"el Fort Pienc","Home","Sense estudis",1050
2010,2,"Eixample",6,"la Sagrada Família","Home","Sense estudis",1753
2010,2,"Eixample",7,"la Dreta de l'Eixample","Home","Sense estudis",1155
2010,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Sense estudis",1064
2010,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Sense estudis",1755
2010,2,"Eixample",10,"Sant Antoni","Home","Sense estudis",1238
2010,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Sense estudis",1608
2010,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Sense estudis",103
2010,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Sense estudis",1688
2010,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Sense estudis",407
2010,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Sense estudis",647
2010,3,"Sants-Montjuïc",16,"la Bordeta","Home","Sense estudis",857
2010,3,"Sants-Montjuïc",17,"Sants - Badal","Home","Sense estudis",1115
2010,3,"Sants-Montjuïc",18,"Sants","Home","Sense estudis",1660
2010,4,"Les Corts",19,"les Corts","Home","Sense estudis",1706
2010,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","Sense estudis",953
2010,4,"Les Corts",21,"Pedralbes","Home","Sense estudis",353
2010,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","Sense estudis",152
2010,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","Sense estudis",732
2010,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","Sense estudis",467
2010,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","Sense estudis",719
2010,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","Sense estudis",1258
2010,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","Sense estudis",873
