"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nivell acadèmic","Nombre"
2009,1,"Ciutat Vella",1,"el Raval","Home","Sense estudis",2017
2009,1,"Ciutat Vella",2,"el Barri Gòtic","Home","Sense estudis",760
2009,1,"Ciutat Vella",3,"la Barceloneta","Home","Sense estudis",873
2009,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","Sense estudis",880
2009,2,"Eixample",5,"el Fort Pienc","Home","Sense estudis",1080
2009,2,"Eixample",6,"la Sagrada Família","Home","Sense estudis",1865
2009,2,"Eixample",7,"la Dreta de l'Eixample","Home","Sense estudis",1162
2009,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","Sense estudis",1101
2009,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","Sense estudis",1850
2009,2,"Eixample",10,"Sant Antoni","Home","Sense estudis",1295
2009,3,"Sants-Montjuïc",11,"el Poble Sec","Home","Sense estudis",1704
2009,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","Sense estudis",102
2009,3,"Sants-Montjuïc",13,"la Marina de Port","Home","Sense estudis",1686
2009,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","Sense estudis",430
2009,3,"Sants-Montjuïc",15,"Hostafrancs","Home","Sense estudis",683
2009,3,"Sants-Montjuïc",16,"la Bordeta","Home","Sense estudis",899
2009,3,"Sants-Montjuïc",17,"Sants - Badal","Home","Sense estudis",1182
2009,3,"Sants-Montjuïc",18,"Sants","Home","Sense estudis",1722
2009,4,"Les Corts",19,"les Corts","Home","Sense estudis",1717
2009,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","Sense estudis",993
2009,4,"Les Corts",21,"Pedralbes","Home","Sense estudis",364
2009,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","Sense estudis",163
2009,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","Sense estudis",728
2009,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","Sense estudis",466
2009,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","Sense estudis",735
2009,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","Sense estudis",1276
2009,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","Sense estudis",895
2009,6,"Gràcia",28,"Vallcarca i els Penitents","Home","Sense estudis",491
2009,6,"Gràcia",29,"el Coll","Home","Sense estudis",323
2009,6,"Gràcia",30,"la Salut","Home","Sense estudis",513
2009,6,"Gràcia",31,"la Vila de Gràcia","Home","Sense estudis",1528
2009,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","Sense estudis",1161
2009,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","Sense estudis",1059
2009,7,"Horta-Guinardó",34,"Can Baró","Home","Sense estudis",462
2009,7,"Horta-Guinardó",35,"el Guinardó","Home","Sense estudis",1363
2009,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","Sense estudis",443
2009,7,"Horta-Guinardó",37,"el Carmel","Home","Sense estudis",2380
2009,7,"Horta-Guinardó",38,"la Teixonera","Home","Sense estudis",727
2009,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","Sense estudis",400
2009,7,"Horta-Guinardó",40,"Montbau","Home","Sense estudis",247
2009,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","Sense estudis",272
2009,7,"Horta-Guinardó",42,"la Clota","Home","Sense estudis",23
2009,7,"Horta-Guinardó",43,"Horta","Home","Sense estudis",1604
