"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat quinquennal","Nombre"
2007,1,"Ciutat Vella",1,"el Raval","Home","< 24 anys",94
2007,1,"Ciutat Vella",2,"el Barri Gòtic","Home","< 24 anys",39
2007,1,"Ciutat Vella",3,"la Barceloneta","Home","< 24 anys",36
2007,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","< 24 anys",32
2007,2,"Eixample",5,"el Fort Pienc","Home","< 24 anys",45
2007,2,"Eixample",6,"la Sagrada Família","Home","< 24 anys",73
2007,2,"Eixample",7,"la Dreta de l'Eixample","Home","< 24 anys",55
2007,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","< 24 anys",67
2007,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","< 24 anys",74
2007,2,"Eixample",10,"Sant Antoni","Home","< 24 anys",53
2007,3,"Sants-Montjuïc",11,"el Poble Sec","Home","< 24 anys",39
2007,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","< 24 anys",1
2007,3,"Sants-Montjuïc",13,"la Marina de Port","Home","< 24 anys",29
2007,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","< 24 anys",12
2007,3,"Sants-Montjuïc",15,"Hostafrancs","Home","< 24 anys",31
2007,3,"Sants-Montjuïc",16,"la Bordeta","Home","< 24 anys",20
2007,3,"Sants-Montjuïc",17,"Sants - Badal","Home","< 24 anys",31
2007,3,"Sants-Montjuïc",18,"Sants","Home","< 24 anys",60
2007,4,"Les Corts",19,"les Corts","Home","< 24 anys",45
2007,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","< 24 anys",31
2007,4,"Les Corts",21,"Pedralbes","Home","< 24 anys",13
2007,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","< 24 anys",6
2007,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","< 24 anys",27
2007,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","< 24 anys",9
2007,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","< 24 anys",31
2007,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","< 24 anys",55
2007,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","< 24 anys",39
2007,6,"Gràcia",28,"Vallcarca i els Penitents","Home","< 24 anys",19
2007,6,"Gràcia",29,"el Coll","Home","< 24 anys",10
2007,6,"Gràcia",30,"la Salut","Home","< 24 anys",16
2007,6,"Gràcia",31,"la Vila de Gràcia","Home","< 24 anys",65
2007,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","< 24 anys",47
2007,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","< 24 anys",34
2007,7,"Horta-Guinardó",34,"Can Baró","Home","< 24 anys",9
2007,7,"Horta-Guinardó",35,"el Guinardó","Home","< 24 anys",38
2007,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","< 24 anys",6
2007,7,"Horta-Guinardó",37,"el Carmel","Home","< 24 anys",35
2007,7,"Horta-Guinardó",38,"la Teixonera","Home","< 24 anys",8
