"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població","Domicilis","Ocupació mitjana (persones per domicili)"
2018,1,"Ciutat Vella",1,"el Raval",47605,17212,2.77
2018,1,"Ciutat Vella",2,"el Barri Gòtic",17035,6565,2.59
2018,1,"Ciutat Vella",3,"la Barceloneta",14893,6917,2.15
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22605,10238,2.21
2018,2,"Eixample",5,"el Fort Pienc",32080,12831,2.5
2018,2,"Eixample",6,"la Sagrada Família",51654,21981,2.35
2018,2,"Eixample",7,"la Dreta de l'Eixample",43880,18519,2.37
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",42611,18268,2.33
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample",58238,24719,2.36
2018,2,"Eixample",10,"Sant Antoni",38291,16394,2.34
2018,3,"Sants-Montjuïc",11,"el Poble Sec",39775,15942,2.49
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1161,462,2.51
2018,3,"Sants-Montjuïc",13,"la Marina de Port",30751,11919,2.58
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla",10307,4277,2.41
2018,3,"Sants-Montjuïc",15,"Hostafrancs",15969,6666,2.4
2018,3,"Sants-Montjuïc",16,"la Bordeta",18833,7664,2.46
2018,3,"Sants-Montjuïc",17,"Sants - Badal",24018,9945,2.42
2018,3,"Sants-Montjuïc",18,"Sants",41370,17125,2.42
2018,4,"Les Corts",19,"les Corts",46152,19088,2.42
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon",23984,9738,2.46
2018,4,"Les Corts",21,"Pedralbes",12046,4234,2.85
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4710,1605,2.93
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià",25116,8928,2.81
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",16678,5601,2.98
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",25889,9381,2.76
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",47753,18757,2.55
2018,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",29691,12295,2.41
2018,6,"Gràcia",28,"Vallcarca i els Penitents",15789,6521,2.42
2018,6,"Gràcia",29,"el Coll",7460,3129,2.38
2018,6,"Gràcia",30,"la Salut",13260,5424,2.44
2018,6,"Gràcia",31,"la Vila de Gràcia",50421,22767,2.21
2018,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",34663,14951,2.32
2018,7,"Horta-Guinardó",33,"el Baix Guinardó",25793,10849,2.38
2018,7,"Horta-Guinardó",34,"Can Baró",9071,3832,2.37
2018,7,"Horta-Guinardó",35,"el Guinardó",36890,15428,2.39
2018,7,"Horta-Guinardó",36,"la Font d'en Fargues",9446,3710,2.55
2018,7,"Horta-Guinardó",37,"el Carmel",31832,12867,2.47
2018,7,"Horta-Guinardó",38,"la Teixonera",11650,4818,2.42
2018,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",7149,2930,2.44
2018,7,"Horta-Guinardó",40,"Montbau",5157,2139,2.41
2018,7,"Horta-Guinardó",41,"la Vall d'Hebron",5737,2351,2.44
2018,7,"Horta-Guinardó",42,"la Clota",657,272,2.42
2018,7,"Horta-Guinardó",43,"Horta",26867,10610,2.53
2018,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",25675,10525,2.44
2018,8,"Nou Barris",45,"Porta",25568,10215,2.5
2018,8,"Nou Barris",46,"el Turó de la Peira",15616,6213,2.51
2018,8,"Nou Barris",47,"Can Peguera",2229,925,2.41
2018,8,"Nou Barris",48,"la Guineueta",15293,6220,2.46
2018,8,"Nou Barris",49,"Canyelles",6885,2808,2.45
2018,8,"Nou Barris",50,"les Roquetes",15784,5925,2.66
2018,8,"Nou Barris",51,"Verdun",12445,5107,2.44
2018,8,"Nou Barris",52,"la Prosperitat",26552,10751,2.47
2018,8,"Nou Barris",53,"la Trinitat Nova",7365,2913,2.53
2018,8,"Nou Barris",54,"Torre Baró",2893,964,3
2018,8,"Nou Barris",55,"Ciutat Meridiana",10622,3669,2.9
2018,8,"Nou Barris",56,"Vallbona",1400,489,2.86
2018,9,"Sant Andreu",57,"la Trinitat Vella",10071,3505,2.87
2018,9,"Sant Andreu",58,"Baró de Viver",2535,977,2.59
2018,9,"Sant Andreu",59,"el Bon Pastor",12740,4487,2.84
2018,9,"Sant Andreu",60,"Sant Andreu",57662,23734,2.43
2018,9,"Sant Andreu",61,"la Sagrera",29197,11851,2.46
2018,9,"Sant Andreu",62,"el Congrés i els Indians",14196,5907,2.4
2018,9,"Sant Andreu",63,"Navas",22159,9047,2.45
2018,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",38440,16351,2.35
2018,10,"Sant Martí",65,"el Clot",27050,10794,2.51
2018,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",15426,6262,2.46
2018,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",9312,3516,2.65
2018,10,"Sant Martí",68,"el Poblenou",33985,13730,2.48
2018,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",13681,5456,2.51
2018,10,"Sant Martí",70,"el Besòs i el Maresme",23546,8304,2.84
2018,10,"Sant Martí",71,"Provençals del Poblenou",20766,8206,2.53
2018,10,"Sant Martí",72,"Sant Martí de Provençals",26092,10627,2.46
2018,10,"Sant Martí",73,"la Verneda i la Pau",28814,11469,2.51
